Title;DisplayName
Convert Decimal to Double?;Eggs McLaren
Percentage width child element in absolutely positioned parent on Internet Explorer 7;Kevin Dente
How do I calculate someone's age in C#?;Jeff Atwood
Calculate relative time in C#;Jeff Atwood
Determine a User's Timezone;Kevin Dente
Difference between Math.Floor() and Math.Truncate();Anonymous User
Filling a DataSet or DataTable from a LINQ query result set;Geoff Dalgas
Binary Data in MySQL;Geoff Dalgas
What is the fastest way to get the value of π?;Chris Jester-Young
Throw an error in a MySQL trigger;Matt MacLean
How to use the C socket API in C++ on z/OS;Jax
Check for changes to an SQL Server table?;TimM
Reliable timer in a console application;John
Best way to allow plugins for a PHP application;Wally Lawless
Multiple submit buttons in an HTML form;Kevin
How do I get a distinct, ordered list of names from a DataTable using LINQ?;Bob
Paging a collection with LINQ;Nick Berardi
How do I add existing comments to RDoc in Ruby?;CodingWithoutComments
Getting Subclipse in Aptana to work with the newest release of Subversion;cmcculloh
SQLStatement.execute() - multiple queries in one statement;Shawn
Flat file databases;saint_groceon
Is gettimeofday() guaranteed to be of microsecond resolution?;Bernard
How do you branch and merge with TortoiseSVN?;cmcculloh
"Anatomy of a ""Memory Leak""";huseyint
Best Subversion clients for Windows Vista (64bit);pix0r
Decoding T-SQL CAST in C#/VB.NET;Dillie-O
ASP.NET Site Maps;Zack Peterson
Java lib or app to convert CSV to XML file?;A Salim
How would you access Object properties from within an object method?;cmcculloh
How to export data from SQL Server 2005 to MySQL;Mat
XSD DataSets and ignoring foreign keys;Dillie-O
Compressing / Decompressing Folders & Files;DylanJ
How do I track file downloads;Grant
How do I sync the SVN revision number with my ASP.NET web site?;Zack Peterson
Embedding Windows Media Player for all browsers;Michael Stum
Versioning SQL Server database;Zack Peterson
How do I print an HTML document from a web service?;Chris Marasti-Georg
Annotating YouTube videos programmatically;Louis Brandy
error_log per Virtual Host?;Michael Stum
Function for creating color wheels;Louis Brandy
Floating Point Number parsing: Is there a Catch All algorithm?;Michael Stum
Upgrading SQL Server 6.5;Dave Ward
What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?;w-ll
Register Windows program with the mailto protocol programmatically;Liron Yahdav
SQL Server 2005 implementation of MySQL REPLACE INTO?;Michael Stum
Create a SQLite database based on an XSD Data Set;Dillie-O
Adding scripting functionality to .NET applications;Michael Stum
GTK implementation of MessageBox;Bernard
BerkeleyDB Concurrency;Ted Dziuba
Best Practice: Collaborative Environment, Bin Directory, SVN;Ryan Eastabrook
How do you sort a dictionary by value?;Kalid
Is there a version control system for database structure changes?;EndangeredMassa
PHP Session Security;saint_groceon
Should I use nested classes in this case?;JimDaniel
When to use unsigned values over signed ones?;Bernard
XML Processing in Python;saalon
Generate list of all possible permutations of a string;UnkwnTech
How do you make sure email you send programmatically is not automatically marked as spam?;Leon Bambrick
What is the meaning of the type safety warning in certain Java generics casts?;Mike Stone
Lucene Score results;Stephen Hendry
iPhone app in landscape mode, 2008 systems;Michiel de Mare
Programmatically launch IE Mobile favorites screen;prakash
"Implementation of ""Remember me"" in a Rails application";Michiel de Mare
How can I find the full path to a font from its display name on a Mac?;Gareth Simpson
Homegrown consumption of web services;Dillie-O
WinForms ComboBox data binding gotcha;Darren Kopp
Get a preview JPEG of a PDF on Windows?;Gareth Simpson
The definitive guide to form-based website authentication;Michiel de Mare
What is the difference between an int and an Integer in Java and C#?;CodingWithoutComments
Deploying SQL Server Databases from Test to Live;Michael Stum
cx_Oracle: How do I iterate over a result set?;Mark Harrison
When to use lambda, when to use Proc.new?;Michiel de Mare
Automatically update version number;Robert Höglund
Encrypting Passwords;UnkwnTech
Embedded Database for .net that can run off a network;Michael Stum
.NET Testing Framework Advice;saalon
Get a new object instance from a Type;tags2k
Solving a linear equation;Adam Ernst
Efficiently get sorted sums of a sorted list;Peter Burns
Editing database records by multiple users;Swinders
CruiseControl.net, msbuild, /p:OutputPath and CCNetArtifactDirectory;Michael Stum
.Net XML comment into API Documentation;MojoFilter
Why is Git better than Subversion?;Ben Mills
Are PHP Variables passed by value or by reference?;cmcculloh
How do you debug PHP scripts?;Marcel
Internationalization in your projects;John Downey
How to word-break on a dash?;Karl Seguin
Client collation and SQL Server 2005;dragonmantank
Unhandled Exception Handler in .NET 1.1;Ray
Adding a Method to an Existing Object Instance;akdom
Getting root permissions on a file inside of vi?;Paul Wicks
How to get the value of built, encoded ViewState?;Rex M
How do I fix 'Unprocessed view path found' error with ExceptionNotifier plugin in rails 2.1?;Orion Edwards
How to get the Country according to a certain IP?;DylanJ
Displaying Flash content in a C# WinForms application;FryHard
How do I delete a file which is locked by another process in C#?;Dean Bates
Why doesn't SQL Full Text Indexing return results for words containing #?;Geoff Dalgas
A little diversion into floating point (im)precision, part 1;Chris Jester-Young
"Heap corruption under Win32; how to locate?";Josh
Process size on UNIX;sachin
